neighborhood_group	energy_label	avg_energy_consumption_m2	avg_building_year	avg_square_meters	avg_home_occupancy	avg_home_size_rooms	average_property_value	avg_length_residence_years	avg_disp_income_ink	stand_avg_energy_consumption_m2	stand_avg_building_year	stand_avg_square_meters	stand_avg_home_occupancy	stand_avg_home_size_rooms	stand_average_property_value	stand_avg_length_residence_years	stand_avg_disp_income_ink	predicted	theoretical
E16	C	578.8149999999998	1965.6	69.4	1.66	2.6	229.0	8.3	28.5	-0.9618271763786344	0.2690904305530569	-0.2164914527479334	-1.0922692139687618	-1.28294730856689	0.1700689391662654	-0.243344137744788	-0.3241782348373013	839.2818779590742	1319
E17	C	684.883860465117	1908.716279069768	64.25581395348837	1.77	3.0	267.0	8.8	31.3	-0.6815270037852937	-1.6758871925209804	-0.21974321796111093	-0.7207152216695949	-0.2833640142399822	0.8348803330506519	0.009246626179375734	0.22616575999274244	1208.8100701891815	1319
E18	C	657.5521052631577	1966.3263157894735	69.89473684210526	1.82	2.6	225.0	7.1	27.6	-0.7537545705451688	0.2939247405227674	-0.2161787175477892	-0.5518270433517919	-1.28294730856689	0.10008879244159312	-0.8495619711627816	-0.501074518889815	864.078421887727	1319
E19	C	656.9229225352115	1962.4295774647887	62.86267605633803	1.6	2.4	211.0	8.8	25.9	-0.7554172642562423	0.16068681725500186	-0.22062385433587514	-1.2949350279501246	-1.7827389557303444	-0.1448417210947598	0.009246626179375734	-0.8352119443223421	851.9424584736024	1319
E20	C	683.3646276595739	1957.4308510638296	65.23404255319149	1.79	3.1	310.0	8.3	35.4	-0.6855417656648487	-0.010230465136898785	-0.21912485585245287	-0.6531599503424738	-0.03346819065825496	1.5871669103408788	-0.243344137744788	1.032026609565306	894.5152581260389	1319
E21	C	640.4356976744189	1969.8837209302328	62.34883720930232	1.77	3.0	270.0	7.7	33.0	-0.7989868091141813	0.41556012727024777	-0.22094866437829247	-0.7207152216695949	-0.2833640142399822	0.8873654430941561	-0.5464530544537848	0.5603031854252688	823.6174440267023	1319
E37	C	623.3329670329667	1948.4835164835165	68.69230769230771	2.02	2.9	176.0	8.2	26.3	-0.8441829046467907	-0.3161592134726449	-0.21693880228136406	0.12372566991941958	-0.5332598378217094	-0.7571680049356421	-0.2938622905296215	-0.7565913736323355	1015.0088902232584	1319
E38	C	605.7885714285715	1938.2857142857144	67.57142857142857	1.93	3.1	172.0	7.7	28.3	-0.8905461548447612	-0.6648441580385531	-0.21764733725667335	-0.18027305105262592	-0.03346819065825496	-0.8271481516603143	-0.5464530544537848	-0.3634885201823043	1070.2829729881903	1319
E39	C	698.241262135923	1954.4368932038833	59.39805825242718	2.17	3.0	176.0	6.2	25.1	-0.6462284064655194	-0.11260036898274943	-0.22281392358100915	0.6303902048728279	-0.2833640142399822	-0.7571680049356421	-1.3042253462262758	-0.992453085702354	1009.626037497359	1319
E40	C	741.8118749999999	1933.9375	56.8125	1.97	3.2	210.0	8.3	29.4	-0.5310876360995095	-0.8135190222658373	-0.22444831788671046	-0.04516250839838347	0.21642763292347225	-0.16233675777592785	-0.243344137744788	-0.1472819507847876	1094.3600798801565	1319
E41	C	652.9258064516127	1929.8924731182801	61.02150537634409	2.1	2.8	175.0	6.8	24.6	-0.7659801412702439	-0.9518272524768748	-0.22178770313811405	0.3939467552279045	-0.7831556614034366	-0.7746630416168101	-1.00111642951728	-1.0907287990648618	1150.567639158402	1319
E42	C	688.7604687500002	1926.828125	62.484375	1.83	2.8	177.0	8.1	25.3	-0.6712825836363013	-1.0566039517134282	-0.22086298764170545	-0.5180494076882313	-0.7831556614034366	-0.7396729682544742	-0.34438044331445405	-0.9531428003573512	1125.1953580432657	1319
F76	C	718.9902400000002	1954.336	54.29600000000001	2.25	3.1	140.0	9.1	25.3	-0.5913966485779261	-0.11605012614814945	-0.22603905879012515	0.9006112901813129	-0.03346819065825496	-1.3869893254576924	0.16080108453387346	-0.9531428003573512	1016.8079198274772	1319
F77	C	709.8260869565221	1969.2065217391305	56.90217391304348	2.25	3.2	143.0	9.0	25.4	-0.6156140642123992	0.3924052201805223	-0.22439163282354832	0.9006112901813129	0.21642763292347225	-1.3345042154141882	0.11028293174904087	-0.93348765768485	923.8428018142696	1319
